year1,Homicidios_mujeres,,year2,Feminicidios,,year3,Otros_tipos,,year,estado,feminicidios,,,year4,index_state,feminicidios
1990      ,1520,,2015,413,,2015,1970,,2015,Aguascalientes,0,,1990.xlsx,1990,1,3
1991      ,1534,,2016,608,,2016,1775,,2015,Baja California,10,,1990.xlsx,1990,2,29
1992      ,1624,,2017,742,,2017,1641,,2015,Baja California Sur,0,,1990.xlsx,1990,4,9
1993      ,1553,,2018,898,,2018,1485,,2015,Campeche,4,,1990.xlsx,1990,5,15
1994      ,1476,,2019,944,,2019,1439,,2015,Chiapas,36,,1990.xlsx,1990,6,2
1995      ,1526,,2020,947,,2020,1436,,2015,Chihuahua,0,,1990.xlsx,1990,7,28
1996      ,1461,,2021,981,,2021,1402,,2015,Ciudad de México,56,,1990.xlsx,1990,8,27
1997      ,1372,,2022,963,,2022,1420,,2015,Coahuila de Zaragoza,16,,1990.xlsx,1990,9,144
1998      ,1531,,,,,,,,2015,Colima,5,,1990.xlsx,1990,10,15
1999      ,1411,,,,,,,,2015,Durango,2,,1990.xlsx,1990,11,36
2000      ,1284,,,,,,,,2015,Guanajuato,16,,1990.xlsx,1990,12,44
2001      ,1282,,,,,,,,2015,Guerrero,1,,1990.xlsx,1990,13,35
2002      ,1280,,,,,,,,2015,Hidalgo,0,,1990.xlsx,1990,14,67
2003      ,1316,,,,,,,,2015,Jalisco,62,,1990.xlsx,1990,15,575
2004      ,1206,,,,,,,,2015,México,60,,1990.xlsx,1990,16,56
2005      ,1297,,,,,,,,2015,Michoacán de Ocampo,12,,1990.xlsx,1990,17,30
2006      ,1298,,,,,,,,2015,Morelos,15,,1990.xlsx,1990,18,20
2007      ,1083,,,,,,,,2015,Nayarit,0,,1990.xlsx,1990,19,9
2008      ,1425,,,,,,,,2015,Nuevo León,1,,1990.xlsx,1990,20,100
2009      ,1925,,,,,,,,2015,Oaxaca,8,,1990.xlsx,1990,21,58
2010      ,2418,,,,,,,,2015,Puebla,6,,1990.xlsx,1990,22,12
2011      ,2693,,,,,,,,2015,Querétaro,8,,1990.xlsx,1990,23,2
2012      ,2764,,,,,,,,2015,Quintana Roo,0,,1990.xlsx,1990,24,10
2013      ,2648,,,,,,,,2015,San Luis Potosí,7,,1990.xlsx,1990,25,32
2014      ,2408,,,,,,,,2015,Sinaloa,14,,1990.xlsx,1990,26,20
2015      ,2383,,,,,,,,2015,Sonora,24,,1990.xlsx,1990,27,10
2016      ,2813,,,,,,,,2015,Tabasco,8,,1990.xlsx,1990,28,26
2017      ,3430,,,,,,,,2015,Tamaulipas,0,,1990.xlsx,1990,29,7
2018      ,3752,,,,,,,,2015,Tlaxcala,1,,1990.xlsx,1990,30,65
2019      ,3893,,,,,,,,2015,Veracruz de Ignacio de la Llave,40,,1990.xlsx,1990,31,9
2020      ,3957,,,,,,,,2015,Yucatán,1,,1990.xlsx,1990,32,21
2021      ,4002,,,,,,,,2015,Zacatecas,0,,,,,
2022      ,3928,,,,,,,,2016,Aguascalientes,0,,1991.xlsx,1991,1,9
,,,,,,,,,2016,Baja California,12,,1991.xlsx,1991,2,19
,,,,,,,,,2016,Baja California Sur,0,,1991.xlsx,1991,3,5
,,,,,,,,,2016,Campeche,3,,1991.xlsx,1991,4,9
,,,,,,,,,2016,Chiapas,32,,1991.xlsx,1991,5,12
,,,,,,,,,2016,Chihuahua,0,,1991.xlsx,1991,6,10
,,,,,,,,,2016,Ciudad de México,46,,1991.xlsx,1991,7,62
,,,,,,,,,2016,Coahuila de Zaragoza,14,,1991.xlsx,1991,8,33
,,,,,,,,,2016,Colima,22,,1991.xlsx,1991,9,102
,,,,,,,,,2016,Durango,2,,1991.xlsx,1991,10,25
,,,,,,,,,2016,Guanajuato,14,,1991.xlsx,1991,11,28
,,,,,,,,,2016,Guerrero,21,,1991.xlsx,1991,12,72
,,,,,,,,,2016,Hidalgo,22,,1991.xlsx,1991,13,16
,,,,,,,,,2016,Jalisco,48,,1991.xlsx,1991,14,86
,,,,,,,,,2016,México,57,,1991.xlsx,1991,15,564
,,,,,,,,,2016,Michoacán de Ocampo,26,,1991.xlsx,1991,16,82
,,,,,,,,,2016,Morelos,30,,1991.xlsx,1991,17,25
,,,,,,,,,2016,Nayarit,0,,1991.xlsx,1991,18,15
,,,,,,,,,2016,Nuevo León,3,,1991.xlsx,1991,19,13
,,,,,,,,,2016,Oaxaca,67,,1991.xlsx,1991,20,83
,,,,,,,,,2016,Puebla,12,,1991.xlsx,1991,21,47
,,,,,,,,,2016,Querétaro,1,,1991.xlsx,1991,22,8
,,,,,,,,,2016,Quintana Roo,0,,1991.xlsx,1991,23,4
,,,,,,,,,2016,San Luis Potosí,8,,1991.xlsx,1991,24,15
,,,,,,,,,2016,Sinaloa,39,,1991.xlsx,1991,25,25
,,,,,,,,,2016,Sonora,30,,1991.xlsx,1991,26,18
,,,,,,,,,2016,Tabasco,27,,1991.xlsx,1991,27,20
,,,,,,,,,2016,Tamaulipas,1,,1991.xlsx,1991,28,39
,,,,,,,,,2016,Tlaxcala,1,,1991.xlsx,1991,29,6
,,,,,,,,,2016,Veracruz de Ignacio de la Llave,58,,1991.xlsx,1991,30,70
,,,,,,,,,2016,Yucatán,1,,1991.xlsx,1991,31,3
,,,,,,,,,2016,Zacatecas,11,,1991.xlsx,1991,32,7
,,,,,,,,,2017,Aguascalientes,0,,,,,
,,,,,,,,,2017,Baja California,11,,1992.xlsx,1992,1,2
,,,,,,,,,2017,Baja California Sur,0,,1992.xlsx,1992,2,32
,,,,,,,,,2017,Campeche,1,,1992.xlsx,1992,4,9
,,,,,,,,,2017,Chiapas,29,,1992.xlsx,1992,5,20
,,,,,,,,,2017,Chihuahua,11,,1992.xlsx,1992,6,9
,,,,,,,,,2017,Ciudad de México,37,,1992.xlsx,1992,7,53
,,,,,,,,,2017,Coahuila de Zaragoza,9,,1992.xlsx,1992,8,39
,,,,,,,,,2017,Colima,4,,1992.xlsx,1992,9,127
,,,,,,,,,2017,Durango,9,,1992.xlsx,1992,10,24
,,,,,,,,,2017,Guanajuato,12,,1992.xlsx,1992,11,33
,,,,,,,,,2017,Guerrero,21,,1992.xlsx,1992,12,116
,,,,,,,,,2017,Hidalgo,22,,1992.xlsx,1992,13,17
,,,,,,,,,2017,Jalisco,27,,1992.xlsx,1992,14,79
,,,,,,,,,2017,México,70,,1992.xlsx,1992,15,553
,,,,,,,,,2017,Michoacán de Ocampo,29,,1992.xlsx,1992,16,72
,,,,,,,,,2017,Morelos,27,,1992.xlsx,1992,17,27
,,,,,,,,,2017,Nayarit,5,,1992.xlsx,1992,18,21
,,,,,,,,,2017,Nuevo León,43,,1992.xlsx,1992,19,17
,,,,,,,,,2017,Oaxaca,57,,1992.xlsx,1992,20,95
,,,,,,,,,2017,Puebla,27,,1992.xlsx,1992,21,50
,,,,,,,,,2017,Querétaro,1,,1992.xlsx,1992,22,10
,,,,,,,,,2017,Quintana Roo,4,,1992.xlsx,1992,23,11
,,,,,,,,,2017,San Luis Potosí,18,,1992.xlsx,1992,24,15
,,,,,,,,,2017,Sinaloa,82,,1992.xlsx,1992,25,34
,,,,,,,,,2017,Sonora,32,,1992.xlsx,1992,26,21
,,,,,,,,,2017,Tabasco,28,,1992.xlsx,1992,27,10
,,,,,,,,,2017,Tamaulipas,4,,1992.xlsx,1992,28,33
,,,,,,,,,2017,Tlaxcala,2,,1992.xlsx,1992,29,7
,,,,,,,,,2017,Veracruz de Ignacio de la Llave,100,,1992.xlsx,1992,30,65
,,,,,,,,,2017,Yucatán,9,,1992.xlsx,1992,31,6
,,,,,,,,,2017,Zacatecas,11,,1992.xlsx,1992,32,13
,,,,,,,,,2018,Aguascalientes,4,,,,,
,,,,,,,,,2018,Baja California,27,,1993.xlsx,1993,1,3
,,,,,,,,,2018,Baja California Sur,0,,1993.xlsx,1993,2,28
,,,,,,,,,2018,Campeche,5,,1993.xlsx,1993,3,2
,,,,,,,,,2018,Chiapas,21,,1993.xlsx,1993,4,5
,,,,,,,,,2018,Chihuahua,44,,1993.xlsx,1993,5,18
,,,,,,,,,2018,Ciudad de México,47,,1993.xlsx,1993,6,6
,,,,,,,,,2018,Coahuila de Zaragoza,13,,1993.xlsx,1993,7,50
,,,,,,,,,2018,Colima,12,,1993.xlsx,1993,8,32
,,,,,,,,,2018,Durango,4,,1993.xlsx,1993,9,121
,,,,,,,,,2018,Guanajuato,21,,1993.xlsx,1993,10,16
,,,,,,,,,2018,Guerrero,33,,1993.xlsx,1993,11,37
,,,,,,,,,2018,Hidalgo,20,,1993.xlsx,1993,12,71
,,,,,,,,,2018,Jalisco,33,,1993.xlsx,1993,13,10
,,,,,,,,,2018,México,115,,1993.xlsx,1993,14,67
,,,,,,,,,2018,Michoacán de Ocampo,21,,1993.xlsx,1993,15,551
,,,,,,,,,2018,Morelos,28,,1993.xlsx,1993,16,98
,,,,,,,,,2018,Nayarit,4,,1993.xlsx,1993,17,44
,,,,,,,,,2018,Nuevo León,79,,1993.xlsx,1993,18,17
,,,,,,,,,2018,Oaxaca,29,,1993.xlsx,1993,19,12
,,,,,,,,,2018,Puebla,32,,1993.xlsx,1993,20,102
,,,,,,,,,2018,Querétaro,7,,1993.xlsx,1993,21,77
,,,,,,,,,2018,Quintana Roo,8,,1993.xlsx,1993,22,5
,,,,,,,,,2018,San Luis Potosí,27,,1993.xlsx,1993,23,7
,,,,,,,,,2018,Sinaloa,48,,1993.xlsx,1993,24,18
,,,,,,,,,2018,Sonora,31,,1993.xlsx,1993,25,28
,,,,,,,,,2018,Tabasco,40,,1993.xlsx,1993,26,11
,,,,,,,,,2018,Tamaulipas,13,,1993.xlsx,1993,27,13
,,,,,,,,,2018,Tlaxcala,4,,1993.xlsx,1993,28,26
,,,,,,,,,2018,Veracruz de Ignacio de la Llave,101,,1993.xlsx,1993,29,4
,,,,,,,,,2018,Yucatán,7,,1993.xlsx,1993,30,58
,,,,,,,,,2018,Zacatecas,20,,1993.xlsx,1993,31,6
,,,,,,,,,2019,Aguascalientes,5,,1993.xlsx,1993,32,5
,,,,,,,,,2019,Baja California,23,,,,,
,,,,,,,,,2019,Baja California Sur,2,,1994.xlsx,1994,1,4
,,,,,,,,,2019,Campeche,6,,1994.xlsx,1994,2,30
,,,,,,,,,2019,Chiapas,20,,1994.xlsx,1994,3,2
,,,,,,,,,2019,Chihuahua,30,,1994.xlsx,1994,4,6
,,,,,,,,,2019,Ciudad de México,72,,1994.xlsx,1994,5,14
,,,,,,,,,2019,Coahuila de Zaragoza,24,,1994.xlsx,1994,6,8
,,,,,,,,,2019,Colima,10,,1994.xlsx,1994,7,69
,,,,,,,,,2019,Durango,10,,1994.xlsx,1994,8,39
,,,,,,,,,2019,Guanajuato,18,,1994.xlsx,1994,9,113
,,,,,,,,,2019,Guerrero,18,,1994.xlsx,1994,10,20
,,,,,,,,,2019,Hidalgo,20,,1994.xlsx,1994,11,32
,,,,,,,,,2019,Jalisco,65,,1994.xlsx,1994,12,99
,,,,,,,,,2019,México,121,,1994.xlsx,1994,13,15
,,,,,,,,,2019,Michoacán de Ocampo,14,,1994.xlsx,1994,14,56
,,,,,,,,,2019,Morelos,39,,1994.xlsx,1994,15,481
,,,,,,,,,2019,Nayarit,5,,1994.xlsx,1994,16,78
,,,,,,,,,2019,Nuevo León,67,,1994.xlsx,1994,17,30
,,,,,,,,,2019,Oaxaca,28,,1994.xlsx,1994,18,16
,,,,,,,,,2019,Puebla,57,,1994.xlsx,1994,19,14
,,,,,,,,,2019,Querétaro,10,,1994.xlsx,1994,20,87
,,,,,,,,,2019,Quintana Roo,16,,1994.xlsx,1994,21,47
,,,,,,,,,2019,San Luis Potosí,28,,1994.xlsx,1994,22,8
,,,,,,,,,2019,Sinaloa,37,,1994.xlsx,1994,23,16
,,,,,,,,,2019,Sonora,37,,1994.xlsx,1994,24,16
,,,,,,,,,2019,Tabasco,27,,1994.xlsx,1994,25,35
,,,,,,,,,2019,Tamaulipas,16,,1994.xlsx,1994,26,18
,,,,,,,,,2019,Tlaxcala,7,,1994.xlsx,1994,27,22
,,,,,,,,,2019,Veracruz de Ignacio de la Llave,98,,1994.xlsx,1994,28,36
,,,,,,,,,2019,Yucatán,3,,1994.xlsx,1994,29,1
,,,,,,,,,2019,Zacatecas,11,,1994.xlsx,1994,30,50
,,,,,,,,,2020,Aguascalientes,3,,1994.xlsx,1994,31,4
,,,,,,,,,2020,Baja California,31,,1994.xlsx,1994,32,8
,,,,,,,,,2020,Baja California Sur,4,,,,,
,,,,,,,,,2020,Campeche,3,,1995.xlsx,1995,1,5
,,,,,,,,,2020,Chiapas,28,,1995.xlsx,1995,2,30
,,,,,,,,,2020,Chihuahua,30,,1995.xlsx,1995,3,8
,,,,,,,,,2020,Ciudad de México,78,,1995.xlsx,1995,4,10
,,,,,,,,,2020,Coahuila de Zaragoza,24,,1995.xlsx,1995,5,14
,,,,,,,,,2020,Colima,7,,1995.xlsx,1995,6,6
,,,,,,,,,2020,Durango,12,,1995.xlsx,1995,7,72
,,,,,,,,,2020,Guanajuato,19,,1995.xlsx,1995,8,74
,,,,,,,,,2020,Guerrero,13,,1995.xlsx,1995,9,110
,,,,,,,,,2020,Hidalgo,19,,1995.xlsx,1995,10,16
,,,,,,,,,2020,Jalisco,70,,1995.xlsx,1995,11,30
,,,,,,,,,2020,México,151,,1995.xlsx,1995,12,83
,,,,,,,,,2020,Michoacán de Ocampo,21,,1995.xlsx,1995,13,22
,,,,,,,,,2020,Morelos,35,,1995.xlsx,1995,14,72
,,,,,,,,,2020,Nayarit,12,,1995.xlsx,1995,15,415
,,,,,,,,,2020,Nuevo León,67,,1995.xlsx,1995,16,81
,,,,,,,,,2020,Oaxaca,36,,1995.xlsx,1995,17,35
,,,,,,,,,2020,Puebla,52,,1995.xlsx,1995,18,19
,,,,,,,,,2020,Querétaro,11,,1995.xlsx,1995,19,16
,,,,,,,,,2020,Quintana Roo,15,,1995.xlsx,1995,20,109
,,,,,,,,,2020,San Luis Potosí,27,,1995.xlsx,1995,21,73
,,,,,,,,,2020,Sinaloa,26,,1995.xlsx,1995,22,6
,,,,,,,,,2020,Sonora,30,,1995.xlsx,1995,23,9
,,,,,,,,,2020,Tabasco,15,,1995.xlsx,1995,24,21
,,,,,,,,,2020,Tamaulipas,11,,1995.xlsx,1995,25,27
,,,,,,,,,2020,Tlaxcala,8,,1995.xlsx,1995,26,18
,,,,,,,,,2020,Veracruz de Ignacio de la Llave,73,,1995.xlsx,1995,27,24
,,,,,,,,,2020,Yucatán,6,,1995.xlsx,1995,28,29
,,,,,,,,,2020,Zacatecas,10,,1995.xlsx,1995,29,7
,,,,,,,,,2021,Aguascalientes,9,,1995.xlsx,1995,30,60
,,,,,,,,,2021,Baja California,20,,1995.xlsx,1995,31,6
,,,,,,,,,2021,Baja California Sur,7,,1995.xlsx,1995,32,11
,,,,,,,,,2021,Campeche,7,,,,,
,,,,,,,,,2021,Chiapas,46,,1996.xlsx,1996,1,4
,,,,,,,,,2021,Chihuahua,44,,1996.xlsx,1996,2,40
,,,,,,,,,2021,Ciudad de México,68,,1996.xlsx,1996,3,3
,,,,,,,,,2021,Coahuila de Zaragoza,22,,1996.xlsx,1996,4,8
,,,,,,,,,2021,Colima,4,,1996.xlsx,1996,5,11
,,,,,,,,,2021,Durango,10,,1996.xlsx,1996,6,5
,,,,,,,,,2021,Guanajuato,30,,1996.xlsx,1996,7,65
,,,,,,,,,2021,Guerrero,17,,1996.xlsx,1996,8,77
,,,,,,,,,2021,Hidalgo,21,,1996.xlsx,1996,9,111
,,,,,,,,,2021,Jalisco,73,,1996.xlsx,1996,10,6
,,,,,,,,,2021,México,145,,1996.xlsx,1996,11,27
,,,,,,,,,2021,Michoacán de Ocampo,28,,1996.xlsx,1996,12,78
,,,,,,,,,2021,Morelos,23,,1996.xlsx,1996,13,11
,,,,,,,,,2021,Nayarit,7,,1996.xlsx,1996,14,71
,,,,,,,,,2021,Nuevo León,66,,1996.xlsx,1996,15,408
,,,,,,,,,2021,Oaxaca,43,,1996.xlsx,1996,16,114
,,,,,,,,,2021,Puebla,37,,1996.xlsx,1996,17,37
,,,,,,,,,2021,Querétaro,9,,1996.xlsx,1996,18,12
,,,,,,,,,2021,Quintana Roo,25,,1996.xlsx,1996,19,13
,,,,,,,,,2021,San Luis Potosí,24,,1996.xlsx,1996,20,104
,,,,,,,,,2021,Sinaloa,40,,1996.xlsx,1996,21,56
,,,,,,,,,2021,Sonora,42,,1996.xlsx,1996,22,15
,,,,,,,,,2021,Tabasco,15,,1996.xlsx,1996,23,7
,,,,,,,,,2021,Tamaulipas,5,,1996.xlsx,1996,24,19
,,,,,,,,,2021,Tlaxcala,10,,1996.xlsx,1996,25,19
,,,,,,,,,2021,Veracruz de Ignacio de la Llave,68,,1996.xlsx,1996,26,22
,,,,,,,,,2021,Yucatán,5,,1996.xlsx,1996,27,15
,,,,,,,,,2021,Zacatecas,11,,1996.xlsx,1996,28,25
,,,,,,,,,2022,Aguascalientes,10,,1996.xlsx,1996,29,12
,,,,,,,,,2022,Baja California,26,,1996.xlsx,1996,30,45
,,,,,,,,,2022,Baja California Sur,6,,1996.xlsx,1996,31,5
,,,,,,,,,2022,Campeche,11,,1996.xlsx,1996,32,12
,,,,,,,,,2022,Chiapas,44,,,,,
,,,,,,,,,2022,Chihuahua,43,,1997.xlsx,1997,1,3
,,,,,,,,,2022,Ciudad de México,75,,1997.xlsx,1997,2,26
,,,,,,,,,2022,Coahuila de Zaragoza,24,,1997.xlsx,1997,3,1
,,,,,,,,,2022,Colima,18,,1997.xlsx,1997,4,8
,,,,,,,,,2022,Durango,18,,1997.xlsx,1997,5,16
,,,,,,,,,2022,Guanajuato,21,,1997.xlsx,1997,6,4
,,,,,,,,,2022,Guerrero,12,,1997.xlsx,1997,7,71
,,,,,,,,,2022,Hidalgo,19,,1997.xlsx,1997,8,74
,,,,,,,,,2022,Jalisco,38,,1997.xlsx,1997,9,116
,,,,,,,,,2022,México,138,,1997.xlsx,1997,10,13
,,,,,,,,,2022,Michoacán de Ocampo,43,,1997.xlsx,1997,11,19
,,,,,,,,,2022,Morelos,32,,1997.xlsx,1997,12,84
,,,,,,,,,2022,Nayarit,2,,1997.xlsx,1997,13,21
,,,,,,,,,2022,Nuevo León,102,,1997.xlsx,1997,14,56
,,,,,,,,,2022,Oaxaca,41,,1997.xlsx,1997,15,379
,,,,,,,,,2022,Puebla,20,,1997.xlsx,1997,16,65
,,,,,,,,,2022,Querétaro,12,,1997.xlsx,1997,17,21
,,,,,,,,,2022,Quintana Roo,14,,1997.xlsx,1997,18,9
,,,,,,,,,2022,San Luis Potosí,12,,1997.xlsx,1997,19,20
,,,,,,,,,2022,Sinaloa,20,,1997.xlsx,1997,20,87
,,,,,,,,,2022,Sonora,35,,1997.xlsx,1997,21,50
,,,,,,,,,2022,Tabasco,17,,1997.xlsx,1997,22,18
,,,,,,,,,2022,Tamaulipas,19,,1997.xlsx,1997,23,12
,,,,,,,,,2022,Tlaxcala,4,,1997.xlsx,1997,24,9
,,,,,,,,,2022,Veracruz de Ignacio de la Llave,67,,1997.xlsx,1997,25,26
,,,,,,,,,2022,Yucatán,5,,1997.xlsx,1997,26,20
,,,,,,,,,2022,Zacatecas,15,,1997.xlsx,1997,27,20
,,,,,,,,,,,,,1997.xlsx,1997,28,24
,,,,,,,,,,,,,1997.xlsx,1997,29,9
,,,,,,,,,,,,,1997.xlsx,1997,30,69
,,,,,,,,,,,,,1997.xlsx,1997,31,6
,,,,,,,,,,,,,1997.xlsx,1997,32,9
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1998.xlsx,1998,1,12
,,,,,,,,,,,,,1998.xlsx,1998,2,60
,,,,,,,,,,,,,1998.xlsx,1998,3,5
,,,,,,,,,,,,,1998.xlsx,1998,4,8
,,,,,,,,,,,,,1998.xlsx,1998,5,21
,,,,,,,,,,,,,1998.xlsx,1998,6,14
,,,,,,,,,,,,,1998.xlsx,1998,7,103
,,,,,,,,,,,,,1998.xlsx,1998,8,76
